Date,Amount
"Dec 15, 2000",478337.4
"Dec 14, 2000",329285.25
"Dec 13, 2000",1065015
"Dec 5, 2000",496677.15
"Nov 21, 2000",-18414
"Nov 20, 2000",-75000
"Oct 24, 2000",1203426.45
"Oct 13, 2000",-188723
"Sep 26, 2000",362017.35
"Sep 14, 2000",-67500
"Sep 8, 2000",566256.15
"Aug 23, 2000",427871.7
"Aug 21, 2000",2257256.7
"Aug 18, 2000",456942.6
"Aug 17, 2000",-235000
"Aug 11, 2000",-17820
"Aug 10, 2000",4316252.4
"Aug 1, 2000",116010.9
"Jul 21, 2000",289259.1
"Jul 18, 2000",2026046.25
"Jul 14, 2000",61322.4
"Jul 11, 2000",1820151
"Jun 30, 2000",-14689.85
"Jun 29, 2000",98755.2
"Jun 22, 2000",1087396.65
"Jun 15, 2000",28062.45
"May 22, 2000",36404.1
"May 3, 2000",221968.35
"Apr 27, 2000",275375.7
"Apr 25, 2000",267073.2
"Apr 24, 2000",305178.3
"Apr 12, 2000",-235000
"Mar 29, 2000",-23760
"Mar 13, 2000",868052.7
"Mar 7, 2000",410913
"Feb 29, 2000",1042659
"Feb 28, 2000",171450
"Feb 24, 2000",952956.9
"Feb 23, 2000",370087.65
"Feb 22, 2000",594726.3
"Feb 16, 2000",-235000
"Feb 11, 2000",1060384.5
"Feb 10, 2000",318539.25
"Feb 9, 2000",279255.6
"Jan 24, 2000",833384.7
"Jan 14, 2000",-235000
"Dec 16, 1999",-67500
"Nov 22, 1999",-44955
"Oct 29, 1999",13586.4
"Oct 27, 1999",374911.2
"Oct 22, 1999",40618.8
"Oct 21, 1999",429628.05
"Sep 29, 1999",-67500
"Aug 12, 1999",-67500
"Jul 27, 1999",21748.5
"Jul 1, 1999",-45000
"Jun 18, 1999",498738.6
"Jun 4, 1999",131446.8
"May 25, 1999",-67500
"May 6, 1999",317532.15
"Apr 7, 1999",69878.7
"Apr 1, 1999",-30000
"Mar 30, 1999",-67500
"Mar 17, 1999",61007.85
"Feb 11, 1999",-67500
"Oct 21, 1998",-33750
"Aug 26, 1998",-67500
"Aug 4, 1998",70324.2
"Jul 8, 1998",6664.95
"Jun 30, 1998",-67500
"Mar 6, 1998",-67500
"Mar 2, 1998",-67500
"Feb 25, 1998",27778.95
"Feb 10, 1998",35336.25
"Feb 6, 1998",158774.85
"Jan 14, 1998",9201.6
"Jan 8, 1998",-67500
"Oct 6, 1997",-67500
"Sep 10, 1997",99817.65
"Aug 13, 1997",56695.95
"Jun 23, 1997",-67500
"May 19, 1997",-67500
"Apr 17, 1997",7341.3
"Mar 26, 1997",-67500
"Feb 3, 1997",15387.3
"Aug 1, 1996",-67500
"Jul 29, 1996",294042.15
"May 8, 1996",-67500
"Apr 25, 1996",146834.1
"Apr 15, 1996",-33750
"Feb 9, 1996",-33750
"Sep 6, 1995",-33750
"Jul 5, 1995",-33750
